participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.variable_mpcr_game,subsession.fixed_mpcr_game,subsession.treatment,subsession.signalVariance,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,3,3,9.00,0.85,29.50,0.00,0.00,3,30.00,28.50,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,4,3,8.00,0.95,30.50,0.00,0.00,3,30.00,28.50,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,1,3,5.00,0.95,30.65,0.00,0.00,4,27.00,25.65,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,2,3,9.00,0.85,26.65,0.00,0.00,4,27.00,25.65,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,3,3,4.00,1.05,31.65,0.00,0.00,4,27.00,25.65,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,4,3,9.00,0.95,26.65,0.00,0.00,4,27.00,25.65,0.95,1,0,1,1,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,5.00,1.05,28.75,0.00,0.00,1,25.00,23.75,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,7.00,1.05,26.75,0.00,0.00,1,25.00,23.75,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,4.00,1.05,29.75,0.00,0.00,1,25.00,23.75,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,9.00,0.85,24.75,0.00,0.00,1,25.00,23.75,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,7.00,1.15,27.70,0.00,0.00,2,26.00,24.70,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,6.00,0.95,28.70,0.00,0.00,2,26.00,24.70,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,6.00,0.85,28.70,0.00,0.00,2,26.00,24.70,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,7.00,0.85,27.70,0.00,0.00,2,26.00,24.70,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,9.00,1.15,20.00,0.00,0.00,3,20.00,19.00,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,7.00,0.85,22.00,0.00,0.00,3,20.00,19.00,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,3,3,4.00,0.85,25.00,0.00,0.00,3,20.00,19.00,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,4,3,0.00,0.95,29.00,0.00,0.00,3,20.00,19.00,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,1,3,8.00,0.95,32.40,0.00,0.00,4,32.00,30.40,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,2,3,9.00,0.85,31.40,0.00,0.00,4,32.00,30.40,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,3,3,7.00,1.05,33.40,0.00,0.00,4,32.00,30.40,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,4,3,8.00,0.95,32.40,0.00,0.00,4,32.00,30.40,0.95,2,0,1,2,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,9.00,1.05,33.30,0.00,0.00,1,34.00,32.30,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,6.00,1.05,36.30,0.00,0.00,1,34.00,32.30,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,10.00,1.05,32.30,0.00,0.00,1,34.00,32.30,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,9.00,0.85,33.30,0.00,0.00,1,34.00,32.30,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,3.00,1.15,26.00,0.00,0.00,2,20.00,19.00,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,9.00,0.95,20.00,0.00,0.00,2,20.00,19.00,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,0.00,0.85,29.00,0.00,0.00,2,20.00,19.00,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,8.00,0.85,21.00,0.00,0.00,2,20.00,19.00,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,1.00,1.15,18.50,0.00,0.00,3,10.00,9.50,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,5.00,0.85,14.50,0.00,0.00,3,10.00,9.50,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,3,3,1.00,0.85,18.50,0.00,0.00,3,10.00,9.50,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,4,3,3.00,0.95,16.50,0.00,0.00,3,10.00,9.50,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,1,3,10.00,0.95,25.65,0.00,0.00,4,27.00,25.65,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,2,3,6.00,0.85,29.65,0.00,0.00,4,27.00,25.65,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,3,3,1.00,1.05,34.65,0.00,0.00,4,27.00,25.65,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,4,3,10.00,0.95,25.65,0.00,0.00,4,27.00,25.65,0.95,3,0,1,3,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,6.00,1.05,17.30,0.00,0.00,1,14.00,13.30,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,2.00,1.05,21.30,0.00,0.00,1,14.00,13.30,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,1.00,1.05,22.30,0.00,0.00,1,14.00,13.30,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,5.00,0.85,18.30,0.00,0.00,1,14.00,13.30,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,10.00,1.15,22.80,0.00,0.00,2,24.00,22.80,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,1.00,0.95,31.80,0.00,0.00,2,24.00,22.80,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,7.00,0.85,25.80,0.00,0.00,2,24.00,22.80,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,6.00,0.85,26.80,0.00,0.00,2,24.00,22.80,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,0.00,1.15,26.15,0.00,0.00,3,17.00,16.15,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,5.00,0.85,21.15,0.00,0.00,3,17.00,16.15,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,3,3,7.00,0.85,19.15,0.00,0.00,3,17.00,16.15,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,4,3,5.00,0.95,21.15,0.00,0.00,3,17.00,16.15,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,1,3,6.00,0.95,21.10,0.00,0.00,4,18.00,17.10,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,2,3,3.00,0.85,24.10,0.00,0.00,4,18.00,17.10,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,3,3,6.00,1.05,21.10,0.00,0.00,4,18.00,17.10,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,4,3,3.00,0.95,24.10,0.00,0.00,4,18.00,17.10,0.95,4,0,1,4,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,7.00,1.05,22.00,0.00,0.00,1,20.00,19.00,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,0.00,1.05,29.00,0.00,0.00,1,20.00,19.00,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,10.00,1.05,19.00,0.00,0.00,1,20.00,19.00,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,3.00,0.85,26.00,0.00,0.00,1,20.00,19.00,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,9.00,1.15,20.95,0.00,0.00,2,21.00,19.95,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,8.00,0.95,21.95,0.00,0.00,2,21.00,19.95,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,2.00,0.85,27.95,0.00,0.00,2,21.00,19.95,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,2.00,0.85,27.95,0.00,0.00,2,21.00,19.95,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,5.00,1.15,25.90,0.00,0.00,3,22.00,20.90,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,5.00,0.85,25.90,0.00,0.00,3,22.00,20.90,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,3,3,4.00,0.85,26.90,0.00,0.00,3,22.00,20.90,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,4,3,8.00,0.95,22.90,0.00,0.00,3,22.00,20.90,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,1,3,5.00,0.95,26.85,0.00,0.00,4,23.00,21.85,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,2,3,5.00,0.85,26.85,0.00,0.00,4,23.00,21.85,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,3,3,3.00,1.05,28.85,0.00,0.00,4,23.00,21.85,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,4,3,10.00,0.95,21.85,0.00,0.00,4,23.00,21.85,0.95,5,0,1,5,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,3,9.00,1.05,26.65,0.00,0.00,1,27.00,25.65,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,3,7.00,1.05,28.65,0.00,0.00,1,27.00,25.65,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,3,1.00,1.05,34.65,0.00,0.00,1,27.00,25.65,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,3,10.00,0.85,25.65,0.00,0.00,1,27.00,25.65,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,1,3,5.00,1.15,28.75,0.00,0.00,2,25.00,23.75,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,2,3,7.00,0.95,26.75,0.00,0.00,2,25.00,23.75,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,3,3,5.00,0.85,28.75,0.00,0.00,2,25.00,23.75,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,4,3,8.00,0.85,25.75,0.00,0.00,2,25.00,23.75,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,1,3,7.00,1.15,30.55,0.00,0.00,3,29.00,27.55,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,2,3,7.00,0.85,30.55,0.00,0.00,3,29.00,27.55,0.95,6,0,1,6,2,0,3,3,2,public_goods,g8a8f7pt,,,,,,,,0
